x,y,velocity,lookahead
-1.5950,7.7953,1.700,1.750
-2.0208,7.8063,1.700,1.750
-2.4616,7.8197,1.700,1.750
-2.9056,7.7870,1.700,1.750
-3.3062,7.7914,1.700,1.750
-3.7763,7.7562,1.700,1.750
-4.1838,7.7816,1.700,1.750
-4.5826,7.7387,1.700,1.750
-5.0898,7.6359,1.700,1.750
-5.6424,7.6287,1.700,1.750
-6.1049,7.5904,1.700,1.750
-6.6057,7.5091,1.700,1.750
-7.0460,7.4884,1.700,1.750
-7.6153,7.3060,1.700,1.750
-7.9672,7.0391,1.700,1.750
-8.3165,6.7966,1.700,1.750
-8.4720,6.4538,1.700,1.750
-8.5554,6.1430,1.700,1.750
-8.6185,5.7597,1.700,1.750
-8.5392,5.4197,1.700,1.750
-8.4230,5.1425,1.700,1.750
-8.2937,5.0496,1.700,1.750
-8.1901,4.8572,1.700,1.750
-7.9556,4.8180,1.700,1.750
-7.6417,4.7703,1.700,1.750
-7.2013,4.7954,1.700,1.750
-6.7806,4.8501,1.700,1.750
-6.3855,4.9085,1.700,1.750
-6.0116,4.9945,1.700,1.750
-5.5627,5.0723,1.700,1.750
-5.1351,5.1053,1.700,1.750
-4.7797,5.1601,1.700,1.750
-4.3905,5.1685,1.700,1.750
-3.9551,5.2148,1.700,1.750
-3.5537,5.2301,1.700,1.750
-3.1596,5.2491,1.700,1.750
-2.7015,5.3025,1.700,1.750
-2.3099,5.3161,1.700,1.750
-1.9665,5.3517,1.700,1.750
-1.6246,5.3768,1.700,1.750
-1.4026,5.4116,1.700,1.750
-1.2077,5.4397,1.700,1.750
-1.0012,5.4587,1.700,1.750
-0.6667,5.4693,1.700,1.750
-0.2804,5.4698,1.700,1.750
0.1215,5.4191,1.700,1.750
0.5890,5.3262,1.700,1.750
0.9776,5.1530,1.700,1.750
1.3538,4.9659,1.700,1.750
1.6424,4.6676,1.700,1.750
1.6903,4.2237,1.700,1.750
1.6872,3.8087,1.700,1.750
1.6093,3.4239,1.700,1.750
1.5227,3.0979,1.700,1.750
1.2399,2.7062,1.700,1.750
0.8377,2.4715,1.700,1.750
0.3137,3.2714,1.700,1.750
-0.1059,3.3368,1.700,1.750
-0.4912,3.3221,1.700,1.750
-0.9178,3.3424,1.700,1.750
-1.0553,3.3715,1.700,1.750
-1.2379,3.3781,1.700,1.750
-1.4800,3.3809,1.700,1.750
-1.6473,3.3833,1.700,1.750
-1.8915,3.4069,1.700,1.750
-2.0083,3.3708,1.700,1.750
-2.2293,3.3578,1.700,1.750
-2.5169,3.3309,1.700,1.750
-2.7538,3.3508,1.700,1.750
-3.0498,3.3101,1.700,1.750
-3.3695,3.3171,1.700,1.750
-3.6603,3.3017,1.700,1.750
-3.8632,3.2360,1.700,1.750
-4.1195,3.1931,1.700,1.750
-4.3163,3.1566,1.700,1.750
-4.5616,3.1156,1.700,1.750
-4.7399,3.0516,1.700,1.750
-4.9437,3.0153,1.700,1.750
-5.2511,2.9162,1.700,1.750
-5.5217,2.8850,1.700,1.750
-5.8387,2.7972,1.700,1.750
-6.3421,2.6657,1.700,1.750
-6.7937,2.4957,1.700,1.750
-7.2353,2.3567,1.700,1.750
-7.6235,2.1767,1.700,1.750
-7.9810,1.9422,1.700,1.750
-8.2855,1.6684,1.700,1.750
-8.5762,1.3291,1.700,1.750
-8.7969,1.0024,1.700,1.750
-8.8392,0.6494,1.700,1.750
-8.8820,0.2274,1.700,1.750
-8.7790,-0.2148,1.700,1.750
-8.5280,-0.7314,1.700,1.750
-8.1828,-1.0343,1.700,1.750
-7.6728,-1.2358,1.700,1.750
-7.2271,-1.3454,1.700,1.750
-6.7138,-1.3624,1.700,1.750
-6.2623,-1.3163,1.700,1.750
-5.7681,-1.1288,1.700,1.750
-5.2641,-1.0072,1.700,1.750
-4.6146,-0.8406,1.700,1.750
-4.0681,-0.7990,1.700,1.750
-3.5731,-0.7932,1.700,1.750
-3.0644,-0.8474,1.700,1.750
-2.6906,-0.8525,1.700,1.750
-2.2443,-0.7745,1.700,1.750
-1.8161,-0.6830,1.700,1.750
-1.3543,-0.5843,1.700,1.750
-0.8759,-0.4681,1.700,1.750
-0.3177,-0.3362,1.700,1.750
0.2315,-0.2646,1.700,1.750
0.7496,-0.2157,1.700,1.750
1.0981,-0.2064,1.700,1.750
1.3700,-0.1836,1.700,1.750
1.6512,-0.1438,1.700,1.750
1.9372,-0.1158,1.700,1.750
2.2749,-0.1029,1.700,1.750
2.6509,-0.0722,1.700,1.750
2.9431,-0.0287,1.700,1.750
3.2934,-0.0183,1.700,1.750
3.6734,0.0132,1.700,1.750
