x,y,velocity,lookahead
3.2196,5.8484,2.000,1.700
3.0722,6.0135,2.000,1.700
2.8811,6.1836,2.000,1.700
2.7114,6.3302,2.000,1.700
2.5307,6.4851,2.000,1.700
2.3230,6.6219,2.000,1.700
2.1194,6.7396,2.000,1.700
1.8399,6.8882,2.000,1.700
1.3799,7.0564,2.000,1.700
0.7634,7.1549,2.000,1.700
0.1837,7.1947,2.000,1.700
-0.3576,7.2057,2.000,1.700
-0.7984,7.2191,2.000,1.700
-1.1731,7.2326,2.000,1.700
-1.6199,7.2370,2.000,1.700
-2.0900,7.2480,2.000,1.700
-2.6130,7.2503,2.000,1.700
-3.1504,7.2536,2.000,1.700
-3.7038,7.2432,2.000,1.700
-4.1640,7.2360,2.000,1.700
-4.6265,7.2208,2.000,1.700
-5.1504,7.1857,2.000,1.700
-5.6600,7.1419,2.000,1.700
-6.1600,7.0750,2.000,1.700
-6.5812,6.9929,2.000,1.700
-7.0229,6.8890,2.000,1.700
-7.3170,6.7541,2.000,1.700
-7.5390,6.6050,2.000,1.700
-7.7176,6.4527,2.000,1.700
-7.8462,6.2744,2.000,1.700
-7.9148,6.1127,2.000,1.700
-7.9472,5.9043,2.000,1.700
-7.9360,5.6888,2.000,1.700
-7.8863,5.4648,2.000,1.700
-7.7341,5.2323,2.000,1.700
-7.5709,5.0726,2.000,1.700
-7.3581,4.9194,2.000,1.700
-7.1247,4.8161,2.000,1.700
-6.8432,4.7404,2.000,1.700
-6.5329,4.7027,2.000,1.700
-6.1977,4.6895,2.000,1.700
-5.8654,4.6981,2.000,1.700
-5.4069,4.7065,2.000,1.700
-4.9946,4.7066,2.000,1.700
-4.5239,4.7219,2.000,1.700
-4.0605,4.7178,2.000,1.700
-3.5793,4.7481,2.000,1.700
-3.0491,4.7848,2.000,1.700
-2.4978,4.8435,2.000,1.700
-2.0173,4.8686,2.000,1.700
-1.6262,4.9097,2.000,1.700
-1.1973,4.9252,2.000,1.700
-0.8395,4.9274,2.000,1.700
-0.4588,4.8918,2.000,1.700
-0.1187,4.8461,2.000,1.700
0.1677,4.7954,2.000,1.700
0.4042,4.7487,2.000,1.700
0.6311,4.6910,2.000,1.700
0.8225,4.5732,2.000,1.700
0.9494,4.4366,2.000,1.700
1.0435,4.2468,2.000,1.700
1.0635,4.0628,2.000,1.700
1.0881,3.9041,2.000,1.700
1.0621,3.7273,2.000,1.700
1.0287,3.5407,2.000,1.700
0.9636,3.3524,2.000,1.700
0.8860,3.1645,2.000,1.700
0.7142,2.9824,2.000,1.700
0.4776,2.7986,2.000,1.700
0.2140,2.6101,2.000,1.700
-0.1714,2.5091,2.000,1.700
-0.5448,2.5052,2.000,1.700
-0.8839,2.5136,2.000,1.700
-1.2412,2.5339,2.000,1.700
-1.5635,2.5399,2.000,1.700
-1.8154,2.5465,2.000,1.700
-2.0344,2.5493,2.000,1.700
-2.2248,2.5517,2.000,1.700
-2.3997,2.5522,2.000,1.700
-2.5858,2.5392,2.000,1.700
-2.8068,2.5262,2.000,1.700
-3.0944,2.4993,2.000,1.700
-3.3775,2.4730,2.000,1.700
-3.6735,2.4323,2.000,1.700
-3.9701,2.3931,2.000,1.700
-4.2378,2.3546,2.000,1.700
-4.4638,2.3120,2.000,1.700
-4.7201,2.2691,2.000,1.700
-4.9400,2.2326,2.000,1.700
-5.1391,2.1916,2.000,1.700
-5.3405,2.1507,2.000,1.700
-5.5674,2.0913,2.000,1.700
-5.8748,1.9922,2.000,1.700
-6.1454,1.9148,2.000,1.700
-6.4162,1.8270,2.000,1.700
-6.7117,1.7417,2.000,1.700
-7.0016,1.6410,2.000,1.700
-7.3277,1.5251,2.000,1.700
-7.5773,1.4144,2.000,1.700
-7.7731,1.2492,2.000,1.700
-7.9390,1.0909,2.000,1.700
-8.1373,0.7978,2.000,1.700
-8.1963,0.5173,2.000,1.700
-8.2386,0.2336,2.000,1.700
-8.2121,-0.0267,2.000,1.700
-8.1322,-0.2841,2.000,1.700
-7.9967,-0.5235,2.000,1.700
-7.7208,-0.7340,2.000,1.700
-7.3606,-0.8881,2.000,1.700
-7.0061,-1.0126,2.000,1.700
-6.6415,-1.0183,2.000,1.700
-6.2760,-0.9710,2.000,1.700
-5.7810,-0.9000,2.000,1.700
-5.2860,-0.8280,2.000,1.700
-4.7910,-0.7570,2.000,1.700
-4.2960,-0.6860,2.000,1.700
-3.8010,-0.6140,2.000,1.700
-3.3060,-0.5430,2.000,1.700
-2.8110,-0.4720,2.000,1.700
-2.3160,-0.4000,2.000,1.700
-1.8210,-0.3290,2.000,1.700
-1.3260,-0.2580,2.000,1.700
-0.8310,-0.1860,2.000,1.700
-0.3360,-0.1150,2.000,1.700
0.1590,-0.0440,2.000,1.700
0.7002,-0.2954,2.000,1.700
1.2414,-0.4554,2.000,1.700
1.7826,-0.5230,2.000,1.700
2.2545,-0.5203,2.000,1.700
2.8188,-0.5417,2.000,1.700
3.3600,-0.5400,2.000,1.700
3.9012,-0.4449,2.000,1.700
